fold_id,h_accuracy,h_precision,h_recall,h_f1_score
1,0.9886363636363636,0.9895104895104896,0.9886363636363636,0.9887917146144993
2,0.9204545454545454,0.9570707070707072,0.9204545454545454,0.9364382943259948
3,1.0,1.0,1.0,1.0
4,0.9431818181818182,0.9469405594405593,0.9431818181818182,0.9411323763955344
5,0.9431818181818182,0.9566761363636364,0.9431818181818182,0.9482855853823596
