classifier,model,fold,num_epochs,batch_size,learning_rate,loss,accuracy,precision,recall,f1,accuracy_sv,precision_sv,recall_sv,f1_sv,roc_auc,report,conf_matrix,es_patience
Alsuviricetes,6,1,47,10,0.0005,0.23126192390918732,0.918749988079071,0.91875,0.91875,0.91875,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636,1.0,"                 precision    recall  f1-score   support

Martellivirales       1.00      0.98      0.99        44
    Tymovirales       0.98      1.00      0.99        44

       accuracy                           0.99        88
      macro avg       0.99      0.99      0.99        88
   weighted avg       0.99      0.99      0.99        88
","[[43  1]
 [ 0 44]]",30.0
Alsuviricetes,6,2,61,10,0.0005,0.31404024362564087,0.9117984175682068,0.9117983963344788,0.9117983963344788,0.9117983963344788,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9772727272727273,0.9881136950904392,"                 precision    recall  f1-score   support

Martellivirales       0.96      1.00      0.98        43
    Tymovirales       1.00      0.96      0.98        45

       accuracy                           0.98        88
      macro avg       0.98      0.98      0.98        88
   weighted avg       0.98      0.98      0.98        88
","[[43  0]
 [ 2 43]]",30.0
Alsuviricetes,6,3,48,10,0.0005,0.17692223191261292,0.9363636374473572,0.9363636363636364,0.9363636363636364,0.9363636363636364,1.0,1.0,1.0,1.0,1.0,"                 precision    recall  f1-score   support

Martellivirales       1.00      1.00      1.00        43
    Tymovirales       1.00      1.00      1.00        45

       accuracy                           1.00        88
      macro avg       1.00      1.00      1.00        88
   weighted avg       1.00      1.00      1.00        88
","[[43  0]
 [ 0 45]]",30.0
Alsuviricetes,6,4,59,10,0.0005,0.21498404443264008,0.925568163394928,0.9255681818181818,0.9255681818181818,0.9255681818181818,0.9886363636363636,0.9886363636363636,0.9886363636363636,0.9886363636363636,1.0,"                 precision    recall  f1-score   support

Martellivirales       0.98      1.00      0.99        43
    Tymovirales       1.00      0.98      0.99        45

       accuracy                           0.99        88
      macro avg       0.99      0.99      0.99        88
   weighted avg       0.99      0.99      0.99        88
","[[43  0]
 [ 1 44]]",30.0
Alsuviricetes,6,5,51,10,0.0005,0.17202802002429962,0.9352272748947144,0.9352272727272727,0.9352272727272727,0.9352272727272727,1.0,1.0,1.0,1.0,1.0,"                 precision    recall  f1-score   support

Martellivirales       1.00      1.00      1.00        43
    Tymovirales       1.00      1.00      1.00        45

       accuracy                           1.00        88
      macro avg       1.00      1.00      1.00        88
   weighted avg       1.00      1.00      1.00        88
","[[43  0]
 [ 0 45]]",30.0
