foldid,h_accuracy,h_precision,h_recall,h_f1
1,0.9772727272727273,0.9794094794094795,0.9772727272727273,0.9776166152041058
2,0.9431818181818182,0.9593301435406698,0.9431818181818182,0.9480905309782315
3,0.9886363636363636,1.0,0.9886363636363636,0.9941558441558441
4,0.9318181818181818,0.9323137388926862,0.9318181818181818,0.9299822086324633
5,0.9772727272727273,0.9886363636363636,0.9772727272727273,0.9828159645232816
